day,name,address,city,codes,map
Mon  7:30 PM,Nada Podemos Solos,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Mon  8:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Tue  7:00 AM,Big Book Study,5520 Mission @ Guttenberg,Daly City,,
Tue  12:00 PM,Brown Baggers,5520 Mission @ Guttenberg,Daly City,,
Tue  12:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Tue  8:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Tue  8:00 PM,Language Of The Heart,5520 Mission @ Guttenberg,Daly City,,
Wed  7:00 AM,Early Birds-Daily Reflection,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Wed  12:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Wed  12:00 PM,Wed High Noon,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Wed  6:00 PM,Women's Happy Hour,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Wed  6:00 PM,Men's No Bs,5520 Mission @ Guttenberg,Daly City,,
Wed  7:30 PM,Nada Podemos Solos,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Wed  8:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Wed  8:00 PM,Daly City Wed Nite,5520 Mission @ Guttenberg,Daly City,,
Thu  7:00 AM,Living Sober,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Thu  12:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Thu  12:00 PM,Thu Nooner,5520 Mission @ Guttenberg,Daly City,,
Thu  6:30 PM,Fly By Night Group,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Thu  8:00 PM,Grupo Geneva,5520 Mission @ Guttenberg,Daly City,,
Fri  7:00 AM,Step Study,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Fri  12:00 PM,Grupo Geneva,"Seton Med. Ctr	1900 Sullivan-Dr. Conf. Rm., 2nd floor",Daly City,,
Fri  12:00 PM,Brown Baggers,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Fri  7:30 PM,Helping Hand Group,Dolger Sr Ctr. Rm 7	101 Lake Merced Bl.,Daly City,,
Fri  7:30 PM,West Bay All Groups,5520 Mission @ Guttenberg,Daly City,,
Fri  8:00 PM,Westlake Speaker Discussion,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Fri  8:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Sat  10:00 AM,Sat Morning Step,	71 Templeton Ave.,Daly City,,
Sat  8:30 AM,Smart Feet,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Sat  12:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Sat  6:00 PM,Committed Now,5520 Mission @ Guttenberg,Daly City,,
Sat  7:30 PM,Nada Podemos Solos,	2151 Euclid,Daly City,,
Sat  8:00 PM,Grupo Geneva,	2151 Euclid,Daly City,,
Sun  6:00 PM,Oportunidad De Vivir,Free at Last-bldg 3	1796 Bay Road,East Palo Alto,,
Mon  6:00 PM,Oportunidad De Vivir,	2151 Euclid,East Palo Alto,,
Tue  12:00 PM,Living Sober,	2151 Euclid,East Palo Alto,,
Tue  7:00 PM,Oportunidad De Vivir,Free at Last-bldg 3	1796 Bay Rd.,East Palo Alto,,
Wed  7:00 PM,Oportunidad De Vivir,	2151 Euclid,East Palo Alto,,
Thu  12:00 PM,Came To Believe Group,	2151 Euclid,East Palo Alto,,
Thu  7:00 PM,Oportunidad De Vivir,	2151 Euclid,East Palo Alto,,
Fri  7:00 PM,Oportunidad De Vivir,FC Rec Center	650 SHELL BL,East Palo Alto,,
Sat  7:00 PM,Oportunidad De Vivir,Community Center	1000 E. Hillsdale - 2nd Fl.,East Palo Alto,,
Sun  7:00 PM,Foster City Men’s Sharing Group,St. Ambrose Church	Beachpark & Edgewater,Foster City,,
Mon  5:30 PM,Foster City Living Sober Group,Community Center	1000 E. Hillsdale - 2nd Fl.,Foster City,,
Mon  7:30 PM,Study The Text Group,Central Peninsula Church	1005 Shell Blvd,Foster City,,
Tue  5:30 PM,Foster City Living Sober Group,Community Center	1000 E. Hillsdale - 2nd Fl.,Foster City,,
Wed  12:00 PM,The Old & The New,St. Ambrose Church	Beachpark & Edgewater,Foster City,,
Wed  5:30 PM,Foster City Living Sober Group,Community Center	1000 E. Hillsdale - 2nd Fl.,Foster City,,
Wed  7:30 PM,A Fresh Start,Central Peninsula Church	1005 Shell Blvd,Foster City,,
Thu  5:30 PM,Foster City Living Sober Group,Community Center	1000 E. Hillsdale - 2nd Fl.,Foster City,,
Fri  12:00 PM,Friday Noon Book Study,FC Rec Center	650 SHELL BL - Mist Rm,Foster City,,
Fri  5:30 PM,Foster City Living Sober Group,Coastal Repertory Theater	1167 Main Street,Foster City,,
Sat  10:00 AM,Foster City Women’s Meeting,225 S. Cabrillo Hwy Rm200A,Foster City,,
Sun  9:00 AM,3rd & 11th Step,Methodist Church	777 Miramontes,Half Moon Bay ,,
Sun  9:00 AM,Un Dia A La Vez,Shoreline Station	225 S. Cabrillo Hwy Rm101C,Half Moon Bay ,,
Sun  7:30 PM,Coastside Talkers,Lutheran Church	900 N. Cabrillo Hwy.,Half Moon Bay ,,
Mon  12:00 PM,Discussion,Shoreline Station	225 S. Cabrillo Hwy Rm101C,Half Moon Bay ,,
Mon  8:00 PM,Coastside Big Book Study,"Methodist Church	""777 Miramontes, 2nd floor in San Pedro Ridge Room""",Half Moon Bay ,,
Tue  12:00 PM,Big Book Study,Holy Family Episcopal Church	1590 S. Cabrillo Hwy,Half Moon Bay ,,
Tue  6:00 PM,Womens 12 Step Study,Shoreline Station	225 S. Cabrillo Hwy Rm101C,Half Moon Bay ,,
Tue  8:00 PM,Hmb Tues Night Group,Ted Adcock Comm. Center	535 Kelly Avenue,Half Moon Bay ,,
Wed  12:00 PM,Daily Reflections,Shoreline Station	225 S. Cabrillo Hwy Rm101C,Half Moon Bay ,,
Wed  7:00 PM,Serenity By The Sea,"Shoreline Station	""225 S. Cabrillo, Rm 101C""",Half Moon Bay ,,
Thu  12:00 PM,Step Study,"Shoreline Station	""225 S. Cabrillo, Room 101C""",Half Moon Bay ,,
Thu  6:00 PM,Hmb Happy Hour,Shoreline Station	225 S. Cabrillo Hwy Rm101C,Half Moon Bay ,,
Thu  7:30 PM,Hmb Thurs Nite Women's Mtg,Our Lady of Pillar Church	540 Kelly (Church St),Half Moon Bay ,,
Fri  12:00 PM,Back To Basics,Lutheran Church	900 N. Cabrillo Hwy.,Half Moon Bay ,,
Fri  8:00 PM,Friday Night Group,Shoreline Station	225 S. Cabrillo Hwy Rm101C,Half Moon Bay ,,
Sat  7:30 AM,Saturday Morning Eye Opener,Methodist Church (Choir Room) 	777 Miramontes (2nd Floor),Half Moon Bay ,,
Sat  5:00 PM,Sat Night Speaker/Discussion,"La Honda Elem. School	""450 Sears Ranch Road, Room #3 (in school library)""",Half Moon Bay ,,
Sat  8:00 PM,Sat Nite 12 Step Study Group,"Holy Trinity Church	""Ravenswood & Laurel, Tierney Rm.""",Half Moon Bay ,,
Thu  7:00 PM,La Honda Group,Holy Trinity Church (in Library)	Ravenswood & Pine,La Honda,,
Mon  12:10PM ,Monday Happy Hour,"Presbyterian Church	""1111 University Dr., Bldg. D, Rm. 10""",Menlo Park,,
Mon  7:00 PM,Men's R4d Bb And 12+12 Step Study,VA Hospital	795 Willow Rd. Bldg. 347,Menlo Park,,
Tue  12:00 PM,Book Worm Group,Presby. Church	1111 University-Building D-Rm D11,Menlo Park,,
Tue  7:00 PM,Back To Basics,"Presby. Church	""1111 University Drive, Room D""",Menlo Park,,
Wed  12:00 PM,Atherton Group,St. Bede’s Church	2650 Sandhill Road,Menlo Park,,
Thu  12:00 PM,Menlo Park Men's Grp.,Holy Trinity Ch.	330 Ravenswood & Laurel,Menlo Park,,
Thu  12:00 PM,Womens Step Study Group,"Pres. Church	""1111 University Drive, Bldg. D, Rm 11""",Menlo Park,,
Fri  12:00 PM,Friday Noon Womens Group,Presby. Church	1111 University-Building D-Rm 10,Menlo Park,,
Fri  6:00 PM,Cottonmouth Meeting,St. Bede’s Church	2650 Sandhill Road,Menlo Park,,
Fri  8:00 PM,Menlo Park Friday Night,Meeting rotates- for location call: 577-1310	Meeting rotates- for location call: 577-1310,Menlo Park,,
Sat  9:00 AM,Saturday Morning Sandhill,meet @Starbuck's	17th & El Camino-San Mateo,Menlo Park,,
Thu  10:00 AM,Women’s Home Group,United Meth. Church	450 Chadbourn rm 101,Mid Peninsula,,
Fri  6:30 PM,Young People Traveling Mtg,Millbrae Parks & Rec.	477 Lincoln Circle,Mid Peninsula,,
Tue  12:00 PM,12 Step Study,United Meth. Church	450 Chadbourn rm 101,Millbrae,,
Thu  7:30 PM,Get It Started Group,Seton Coastside Hosp.	600 Marine Blvd.,Millbrae,,
Fri  7:00 PM,Friday Night Rap Group,580 Crespi –In back of coffee shop,Millbrae,,
Tue  7:00 PM,Men's 'language Of The Heart' Study,Beach (weather permitting)	Hwy 1 & Crespi,Moss Beach,,
Sun  10:30 AM,Daily Reflections,Fairmont Rec. Ctr.	649 Park View Circle (off Hickey),Pacifica,,
Sun  10:30 AM,Daily Reflections,Library	Palmetto & Hilton,Pacifica,,
Sun  11:30 AM,Grupo Liberdad,Library	Palmetto & Hilton,Pacifica,,
Sun  4:00 PM,Sun Afternoon Step Study,Terra Nova Church Ctr.	1125 Terra Nova,Pacifica,,
Sun  6:00 PM,Page 133 Group,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Sun  7:30 PM,Serenity In Pacifica,Library	Palmetto & Hilton (street parking only),Pacifica,,
Mon  7:00 AM,The Wake Up Group,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Mon  12:00 PM,Pacifica Discussion,Holy Cross Lutheran Ch.	1165 Seville,Pacifica,,
Mon  6:00 PM,Women's Big Book Study,Comm Center	Crespi & Hwy 1,Pacifica,,
Mon  6:00 PM,12 @ 6 Group,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Mon  7:30 PM,Newcomers & Oldtimers,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Tue  7:00 AM,The Wake Up Group,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Tue  12:00 PM,Tuesday 12:00 Noon Discussion,Terra Nova Church Ctr.	1125 Terra Nova,Pacifica,,
Tue  5:30 PM,Happy Hour/Living Sober,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Tue  7:30 PM,Big Book Study,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Tue  7:30 PM,Pacifica Men's Group,Library	Palmetto & Hilton (street parking only),Pacifica,,
Wed  7:00 AM,The Wake Up Group,Linda Mar School	On Rosita Drive- between Peralta & Adobe,Pacifica,,
Wed  12:00 PM,Pacifica Discussion,Terra Nova Church Ctr.	1125 Terra Nova,Pacifica,,
Wed  7:00 PM,Pacifica Coastside Group,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Wed  7:30 PM,Pacifica Women's Meeting,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Thu  7:00 AM,The Wake Up Group,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Thu  12:00 PM,B.Y.O.B.Group,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Thu  7:30 PM,Grapevine Recovery,Library	Palmetto & Hilton,Pacifica,,
Fri  7:00 AM,The Wake Up Group,Pacifica Comm. Center	540 Crespi Dr.,Pacifica,,
Fri  12:30 PM,Discussion Group,Holy Cross Lutheran Ch.	1165 Seville,Pacifica,,
Fri  6:00 PM,Golden Gate South Group,Baptist Church	2070 Francisco Blvd.,Pacifica,,
Fri  7:30 PM,Pedro Valley Speaker Discussion,St. Peters Church	700 Oddstad-at Linda Mar,Pacifica,,
Sat  11:00 AM,Sharp Park 3rd & 11th Step,Pescadero Comm. Church	363 Stage Road,Pacifica,,
Sat  7:30 PM,As Bill Sees It,Native Sons Hall	112 Stage Rd,Pacifica,,
Mon  7:00 PM,Pescadero Group,Ladera Comm. Church	3300 Alpine Rd.,Pescadero,,
Sat (1st sat. of month only),11:00 AM,"Valley Presbyterian Church	945 Portola Road, in Bride's Room",Pescadero,,
Mon  7:30 PM,Ladera Mon Nite Grp,Ladera Comm. Church	3300 Alpine Rd.,Portola Valley ,,
Tue  7:00 AM,Portola Valley 11th Step,"Valley Presbyterian Church	945 Portola Road, in Bride's Room",Portola Valley ,,
Tue  7:30 PM,Chips Ahoy',	102 Broadway,Portola Valley ,,
Thurs  7:00 AM,Portola Valley 11th Step,	171 5th Av. #210,Portola Valley ,,
Sun  6:30 PM,Sendero De Vida,640 Hurlingame ,Redwood City,,
Sun  7:00 PM,Tres Legados,Woodside Church 	Woodside & Alameda,Redwood City,,
Sun  7:00 PM,Central De Rwc,St . Pius Church	1100 Woodside Rd. Rm 4,Redwood City,,
Sun  7:00 PM,Here & Now,	2710-A Bay Rd.,Redwood City,,
Sun  7:30 PM,Open Door Group,"Sequoia Hospital, R Floor Conference Room  Whipple & The Alameda",Redwood City,,
Sun  7:30 PM,Hispano De Rwc,	149 Clinton,Redwood City,,
Sun  8:00 PM,Sun Night Sharing Group,"NEW 540 Price Ave., 1st floor (closed on State Holidays)",Redwood City,,
Mon  12:00 PM,Monday Noon Meeting,	103 Broadway,Redwood City,,
Mon  2:30 PM,Price Of Freedom Group,	171 5th Av. #206,Redwood City,,
Mon  6:30 PM,Sendero De Vida,640 Hurlingame ,Redwood City,,
Mon  7:00 PM,Tres Legados,Redeemer Lutheran Church	468 Grand,Redwood City,,
Mon  7:00 PM,Central De Rwc,	3120 Spring St.,Redwood City,,
Mon  7:30 PM,Mon Night Fireside Chat Group,	103 Broadway,Redwood City,,
Mon  7:30 PM,Grupo Hispano,	171 5th Av. #210,Redwood City,,
Tue  6:30 PM,Sendero De Vida,640 Hurlingame ,Redwood City,,
Tue  7:00 PM,Tres Legados,	901 Madison Av,Redwood City,,
Tue  7:00 PM,Central De Rwc,	3120 Spring St.,Redwood City,,
Tue  7:30 PM,Thumpers (big Book Study),Sequoia Hospital R Floor Conference Room  Whipple & The Alameda,Redwood City,,
Tue  7:30 PM,Grupo Hispano,	103 Broadway,Redwood City,,
Tue  8:00 PM,Freedom Group,	171 5th Av. #210,Redwood City,,
Wed  6:30 PM,Sendero De Vida,640 Hurlingame ,Redwood City,,
Wed  7:00 PM,Tres Legados,	3120 Spring St.,Redwood City,,
Wed  7:00 PM,Central De Rwc,Woodside Methodist Church	Woodside Road and Alameda,Redwood City,,
Wed  7:30 PM,Grupo Hispano,"St . Pius Church	1100 Woodside Rd, Rm 4",Redwood City,,
Wed  7:30 PM,Wednesday Woodside Meeting,Unitarian Universalist Church	2124 Brewster,Redwood City,,
Wed  8:00 PM,Newcomers Q&A,"Redwood Shores Library	399 Marine World Pkwy, Rm. A",Redwood City,,
Wed  8:00 PM,Step Study Group,"St . Pius Church	1100 Woodside Rd, Rm 4",Redwood City,,
Thurs  12:00 PM,Broken Elevator,	103 Broadway,Redwood City,,
Thu  6:30 PM,A Vision For You,"	171 5th Av, #210",Redwood City,,
Thu  6:30 PM,Sendero De Vida,640 Hurlingame ,Redwood City,,
Thu  7:00 PM,Tres Legados,	3120 Spring St.,Redwood City,,
Thu  7:00 PM,Central De Rwc,"Kaiser Hospital 	Maple & Veterans, Cypress Bldg. Rm A, B, C",Redwood City,,
Thu  7:30 PM,Grupo Hispano,	103 Broadway,Redwood City,,
Thu  8:15 PM,The Irregulars,	171 5th Av. #210,Redwood City,,
Fri  6:30 PM,Sendero De Vida,640 Hurlingame ,Redwood City,,
Fri  7:00 PM,Tres Legados,Unitarian Universalist Church	2124 Brewster,Redwood City,,
Fri  7:00 PM,Central De Rwc,Redeemer Lutheran Church 468 Grand,Redwood City,,
Fri  7:00 PM,Foundation Stone Group,	3120 Spring St.,Redwood City,,
Fri  7:30 PM,Don’t Drink & Go To Meetings,Sequoia Hospital R Floor Conference Room  Whipple & The Alameda,Redwood City,,
Fri  7:30 PM,Grupo Hispano,St. Pius	1100 Woodside Rd. Rm 4,Redwood City,,
Fri  8:00 PM,Phoenix Group,	103 Broadway,Redwood City,,
Sat  10:30 AM,Complete Abandon Group,640 Hurlingame ,Redwood City,,
Sat  6:30 PM,Sendero De Vida,640 Hurlingame ,Redwood City,,
Sat  7:00 PM,Tres Legados,Sequoia Hospital R Floor Conference Room  Whipple & The Alameda,Redwood City,,
Sat  7:00 PM,Central De Rwc,"Kaiser Hospital 	1150 Veterans Bl., Cyprus Bldg. Conf. Rom 2",Redwood City,,
Sat  7:30 PM,Woodside Group,St. Andrew's Church 1600 Santa Lucia-Lower Social Rm,Redwood City,,
Sat  8:00 PM,The Sewer Group,St. John’s Church Hall	Sylvan & Mastick,Redwood City,,
Sun  9:30 AM,Ham & Eggers,St. Andrew's Church 1600 Santa Lucia,San Bruno ,,
Sun  7:00 PM,San Bruno Group,Methodist Church	560 El Camino- ent. Rear,San Bruno ,,
Sun  7:00 PM,Simply Speaking,Methodist Church	560 El Camino- ent. Rear,San Bruno ,,
Mon  5:00 PM,Happy Hour Group,St. John's Church	Sylvan & Mastick,San Bruno ,,
Tue  5:00 PM,Living Sober/Happy Hour,Methodist Church	560 El Camino-enter rear,San Bruno ,,
Tue  6:45 PM,Tools Of Recovery,St. Andrew's Church	1600 Santa Lucia- lower Social rm,San Bruno ,,
Wed  5:00 PM,Experience-Strength-Hope,Methodist Church	560 El Camino-enter rear,San Bruno ,,
Wed  7:30 PM,Early Enders,St. Andrew's Church	1600 Santa Lucia- lower Social rm,San Bruno ,,
Thu  5:00 PM,Twelve Step Study Grp,Methodist Church	560 El Camino-ent. Rear,San Bruno ,,
Thu  7:30 PM,Millbrae Group,St. Roberts	349 Oak St.@ Dababneh (Mahoney Rm. behind Convent),San Bruno ,,
Fri  5:00 PM,Big Book Study,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Bruno ,,
Sat  10:00 AM,Come As You Are-Big Book Disc,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Bruno ,,
Sun  11:00 AM,11th Step,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sun  7:00 AM,Crack Of Dawn,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sun  9:00 AM,Meditation,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sun  2:00 PM,Meditation/Discussion,Holy Trinity Church	Cedar & Manzanita,San Carlos,,
Sun  4:30 PM,Big Book Study,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sun  5:00 PM,Sober Sundays,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sun  7:30 PM,Speaker/Discussion.,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sun  5:45 –7:15,Fourth Step Workshop,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Mon  7:00 AM,Crack Of Dawn ,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Mon  12:00 PM,Discussion.,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Mon  4:30 PM,Speaker/Discussion,"""Church of the Ephiphany, main hall""	Arroyo & Cedar",San Carlos,,
Mon  6:00 PM,Men's Topic Discussion,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Mon  7:00 PM,San Carlos Beginners,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Mon  7:30 PM,12 Step Study,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Mon  9:00 PM,Speaker/ Discussion,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Tue  7:00 AM,Crack Of Dawn,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Tue  12:00 PM,As Bill Sees It,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Tue  4:30 PM,Discussion,Holy Trinity Church	Cedar & Manzanita,San Carlos,,
Tue  6:00 PM,Women's Big Book Study,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Tue  7:00 PM,Steps To Freedom,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Tue  7:30 PM,Living Sober,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Wed  7:00 AM,Daily Reflection Discussion,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Wed  10:30 PM,Women's Daily Reflections,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Wed  12:00 PM,Discussion,Holy Trinity Church	Cedar & Manzanita,San Carlos,,
Wed  4:30 PM,Grapevine,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Wed  7:30 PM,Big Book Study Group,Community Church	Arroyo & Elm,San Carlos,,
Wed  7:30 PM,Beginners ,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Wed  7:30 PM,San Carlos Awareness Group,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Wed  9:00 PM,Big Book Study,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Thu  7:00 AM,Steps / Traditions,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Thu  12:00 PM,Step Study,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Thu  4:30 PM,Discussion,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Thu  6:00 PMhu  7:30 PM,Women's Speaker/Discussion,Church of the Ephiphany Main Hall at Arroyo & Cedar,San Carlos,,
Thu  8:00 PM,Speaker/Discussion,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Fri  12:00 AM Midnight ,We Have Recovered Group,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Fri  7:00 AM,Awake And Serene,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Fri  10:00 PM,Daily Reflection Discussion,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Fri  12:00 PM,Nite Owl,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Fri  4:30 PM,Big Book Study,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Fri  6:00 PM,Tradition Discussion,Holy Trinity Church	Cedar & Manzanita,San Carlos,,
Fri  7:00 PM,Fabulous Fridays,Community Church Arroyo & Elm,San Carlos,,
Fri  7:30 PM,Gifts Of Grace Women's,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Fri  7:30 PM,Walnut Group,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sat  12:00 AM Midnight ,Speaker Meeting,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sat  7:00 AM,Saturday Nite Live,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sat  10:00 PM,Speaker/Discussion,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sat  12:00 PM,11th Step Tropical Meditation,San Carlos Peninsula Fellowship	1133 Eaton Ave.,San Carlos,,
Sat  4:30 PM,Discussion,Holy Trinity Church	Cedar & Manzanita (NEW LOCATION),San Carlos,,
